Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
3261,Doug,Terrier,"(42.3832443, -71.13597033)","42.3832443,",42.3832443,-71.13597033,West Cambridge,
1138,Bailey,Labrador Retriever,"(42.3832379, -71.13601925)","42.3832379,",42.3832379,-71.13601925,West Cambridge,
4693,Ellie,Terrier,"(42.3831763, -71.11763258)","42.3831763,",42.3831763,-71.11763258,Agassiz,
2475,Hallie,Mix,"(42.3830447, -71.14215066)","42.3830447,",42.3830447,-71.14215066,West Cambridge,
1407,Penny,Golden Doodle,"(42.3829716, -71.13452854)","42.3829716,",42.3829716,-71.13452854,Neighborhood Nine,
1553,Reggie,Cavalier King Charles,"(42.3829449, -71.1369961)","42.3829449,",42.3829449,-71.1369961,West Cambridge,
2345,Joey,Labradoodle,"(42.3828709, -71.11928795)","42.3828709,",42.3828709,-71.11928795,Agassiz,
4093,Viviana,Poodle Mix,"(42.3828233, -71.15974469)","42.3828233,",42.3828233,-71.15974469,NA,
3978,Lily,Boston Terrier,"(42.3827751, -71.13480158)","42.3827751,",42.3827751,-71.13480158,West Cambridge,
2793,Tashi,Lhasa Apso,"(42.3827456, -71.12097681)","42.3827456,",42.3827456,-71.12097681,Neighborhood Nine,
3813,Cosmo,Golden Retriever,"(42.3827384, -71.12033432)","42.3827384,",42.3827384,-71.12033432,Neighborhood Nine,
4664,Wyatt,Collie Mix,"(42.3825676, -71.13029923)","42.3825676,",42.3825676,-71.13029923,Neighborhood Nine,
313,Mali,Schnoodle,"(42.3825665, -71.1417831)","42.3825665,",42.3825665,-71.1417831,West Cambridge,
2097,Lilly,Tibetan Terrier,"(42.3824773, -71.12041627)","42.3824773,",42.3824773,-71.12041627,Agassiz,
2005,Lily,Shih Tzu,"(42.3824597, -71.11707804)","42.3824597,",42.3824597,-71.11707804,Agassiz,
4647,Chloe,Rhodesian Ridgeback,"(42.3824096, -71.1414434)","42.3824096,",42.3824096,-71.1414434,West Cambridge,
